Reg Descripcion series;ene.2023;feb.2023;mar.2023;abr.2023;may.2023;jun.2023;jul.2023;ago.2023;sept.2023;oct.2023;nov.2023;dic.2023;ene.2024;feb.2024;mar.2024;abr.2024;may.2024;jun.2024;jul.2024;ago.2024;sept.2024;oct.2024;nov.2024;dic.2024;ene.2025;feb.2025;mar.2025;abr.2025;may.2025;jun.2025;jul.2025;ago.2025;sept.2025;oct.2025;nov.2025;dic.2025
IPC;0,8;-0,1;1,1;0,3;0,1;-0,2;0,4;0,1;0,7;0,4;0,7;-0,5;0,7;0,6;0,4;0,5;0,3;-0,1;0,7;0,3;0,1;1;0,2;-0,2;1,1;0,4;0,5;0,2;0,2;-0,4;0,9;0;0,4;0;0,3;-0,2
IPC SAE historico;1,1;0,2;1,4;0,4;0,2;-0,1;0,3;-0,1;0,4;0;0,7;-0,4;;;;;;;;;;;;;;;;;;;;;;;;
