Dia;Valor
31.ene.2024;3,84
01.feb.2024;3,86
02.feb.2024;3,86
05.feb.2024;3,82
06.feb.2024;3,8
07.feb.2024;3,74
08.feb.2024;3,76
09.feb.2024;3,72
12.feb.2024;3,67
13.feb.2024;3,66
14.feb.2024;3,69
15.feb.2024;3,7
16.feb.2024;3,67
19.feb.2024;3,73
20.feb.2024;3,81
21.feb.2024;3,79
22.feb.2024;3,82
23.feb.2024;3,84
26.feb.2024;3,86
27.feb.2024;3,84
28.feb.2024;3,79
29.feb.2024;3,8
01.mar.2024;3,79
04.mar.2024;3,81
05.mar.2024;3,82
06.mar.2024;3,84
07.mar.2024;3,81
08.mar.2024;3,85
11.mar.2024;3,88
12.mar.2024;3,85
13.mar.2024;3,88
14.mar.2024;3,88
15.mar.2024;4,01
18.mar.2024;3,98
19.mar.2024;4,07
20.mar.2024;4,08
21.mar.2024;4,02
22.mar.2024;4
25.mar.2024;4,01
26.mar.2024;3,97
27.mar.2024;3,97
28.mar.2024;3,97
01.abr.2024;3,97
02.abr.2024;3,98
03.abr.2024;3,98
04.abr.2024;4,03
05.abr.2024;4,15
08.abr.2024;4,19
09.abr.2024;4,18
10.abr.2024;4,21
11.abr.2024;4,21
12.abr.2024;4,19
15.abr.2024;4,18
16.abr.2024;4,23
17.abr.2024;4,31
18.abr.2024;4,24
19.abr.2024;4,3
22.abr.2024;4,38
23.abr.2024;4,44
24.abr.2024;4,42
25.abr.2024;4,36
26.abr.2024;4,38
29.abr.2024;4,42
30.abr.2024;4,47
02.may.2024;4,57
03.may.2024;4,44
06.may.2024;4,37
07.may.2024;4,44
08.may.2024;4,44
09.may.2024;4,49
10.may.2024;4,43
13.may.2024;4,44
14.may.2024;4,49
15.may.2024;4,57
16.may.2024;4,54
17.may.2024;4,59
20.may.2024;4,69
22.may.2024;4,81
23.may.2024;4,87
24.may.2024;4,67
27.may.2024;4,68
28.may.2024;4,63
29.may.2024;4,63
30.may.2024;4,71
31.may.2024;4,68
03.jun.2024;4,54
04.jun.2024;4,5
05.jun.2024;4,54
06.jun.2024;4,45
07.jun.2024;4,45
10.jun.2024;4,55
11.jun.2024;4,37
12.jun.2024;4,43
13.jun.2024;4,37
14.jun.2024;4,45
17.jun.2024;4,38
18.jun.2024;4,36
